player,value_eur_m
Olivier Giroud,25
Romelu Lukaku Menama,35
Harry Kane,90
Jamie Vardy,30
Odion Jude Ighalo,10
Sergio Leonel Agüero del Castillo,60
Aleksandar Mitrović,12
Alexis Alejandro Sánchez Sánchez,55
Graziano Pellè,10
José Salomón Rondón Giménez,15
Diego da Silva Costa,38
Christian Benteke Liolo,20
Jermain Defoe,8
Troy Deeney,8
Sadio Mané,45
André Ayew Pelé,10
Rudy Gestede,6
Shane Long,8
Andy Carroll,10
Riyad Mahrez,30
Cameron Jerome,4
Shinji Okazaki,6
Wilfried Guemiand Bony,15
Marko Arnautović,12
Diafra Sakho,8
Cheikhou Kouyaté,10
Michail Antonio,8
Bamidele Alli,35
Philippe Coutinho Correia,55
Joshua King,10
Georginio Wijnaldum,25
Toby Alderweireld,25
Craig Dawson,6
Ross Barkley,20
Bafétimbi Gomis,6
Dieumerci Mbokani Bezua,4
Wayne Mark Rooney,25
Aaron Ramsey,20
Robert Huth,6
Anthony Martial,40
Erik Lamela,20
Gylfi Þór Sigurðsson,15
Roberto Firmino Barbosa de Oliveira,35
Theo Walcott,15
Raheem Sterling,50
Scott Dann,6
José Leonardo Ulloa,8
Gnégnéri Yaya Touré,15
Matt Ritchie,8
Mesut Özil,42
Connor Wickham,8
Dušan Tadić,12
Juan Manuel Mata García,20
Jonathan Walters,5
Mame Biram Diouf,5
Jordan Ayew,6
Steve Cook,6
Wes Morgan,4
Christian Dannemann Eriksen,35
Yannick Bolasie Yala,15
Virgil van Dijk,35
Daniel Andre Sturridge,22
Pedro Eliezer Rodríguez Ledesma,18
Saido Berahino,10
Glenn Murray,4
José Miguel da Rocha Fonte,8
Arouna Koné,3
Yohan Cabaye,10
Fabio Borini,7
Dimitri Payet,25
Oscar dos Santos Emboaba Júnior,25
Francesc Fàbregas i Soler,25
Dan Gosling,3
Laurent Koscielny,15
Marouane Fellaini-Bakkioui,10
Chris Smalling,20
Memphis Depay,25
Ayoze Pérez Gutiérrez,10
Papiss Demba Cissé,5
Moussa Sissoko,15
Kevin De Bruyne,75
Cristiano Ronaldo dos Santos Aveiro,100
Gareth Frank Bale,80
Arjen Robben,20
Kylian Mbappé Lottin,120
Luis Alberto Suárez Díaz,80
Karim Benzema,60
Aritz Aduriz Zubeldia,6
Borja González Tomás,10
Neymar da Silva Santos Junior,90
Rubén Castro Martín,8
Charles Días Barbosa de Oliveira,10
Javier Guerra Rodríguez,4
Kevin Gameiro,20
Antoine Griezmann,55
Iago Aspas Juncal,12
Lucas Pérez Martínez,10
Youssef El-Arabi,8
Francisco Alcácer García,15
Fernando Llorente Torres,10
Fernando José Torres Sanz,8
Zlatan Ibrahimović,25
Michy Batshuayi Tunga,25
Alexandre Lacazette,35
Martin Braithwaite Christensen,8
Edinson Roberto Cavani Gómez,45
Wissam Ben Yedder,15
Lucas Rodrigues Moura da Silva,20
Hatem Ben Arfa,10
Corentin Tolisso,20
Gonzalo Gerardo Higuaín,60
Nikola Kalinić,15
Edin Džeko,25
Carlos Arturo Bacca Ahumada,20
Mauro Emanuel Icardi Rivero,30
Andrea Belotti,20
Paulo Bruno Exequiel Dybala,45
Mario Mandžukić,20
Paul Pogba,80
Lorenzo Insigne,25
Ivan Perišić,25
Mohamed Salah,15
Giacomo Bonaventura,15
Antonio Candreva,15
